人口密度,长度,火锅店数,三星半计数,四星级计数,四星半计数,经度,纬度
995,712.6957466,0,0,0,0,113.4553557,34.83378673
1095,845.9534903,0,0,0,0,113.4540546,34.8270839
1093,1717.692402,0,0,0,0,113.453284,34.81984264
1093,115.6894307,0,0,0,0,113.4546497,34.81348624
1093,718.6548866,0,0,0,0,113.4555817,34.80452968
1093,769.7069556,0,0,0,0,113.4545805,34.79879654
1097,9.451926028,0,0,0,0,113.4575914,34.76027573
992,0,0,0,0,0,113.4650946,34.83858217
995,0,0,0,0,0,113.4621701,34.83456718
1093,0,0,0,0,0,113.4620936,34.82728137
1093,1147.467695,0,0,0,0,113.4620936,34.81990697
1093,430.2158544,0,0,0,0,113.4620936,34.81253191
1093,1757.393638,0,0,0,0,113.4620936,34.80515619
1093,0,0,0,0,0,113.4622575,34.79808242
986,0,0,0,0,0,113.4663341,34.79404936
1076,214.0676056,0,0,0,0,113.4638791,34.77305055
1076,3779.407842,0,0,0,0,113.4630992,34.76802101
1067,286.7435805,0,0,0,0,113.462355,34.76097442
1087,0,0,0,0,0,113.4636421,34.75699739
1018,0,0,0,0,0,113.4663178,34.72901724
1018,0,0,0,0,0,113.4661571,34.72587158
992,249.539255,0,0,0,0,113.4715007,34.83892555
992,1524.042263,0,0,0,0,113.4710767,34.8346551
1093,2608.31545,0,0,0,0,113.4710767,34.82728137
1093,2430.108682,0,0,0,0,113.4710767,34.81990697
1093,5591.749776,0,0,0,0,113.4710767,34.81253191
1093,7539.392152,0,0,0,0,113.4710767,34.80515619
1092,86.47015527,0,0,0,0,113.4705833,34.79827971
986,0,0,0,0,0,113.4686889,34.79386509
1006,0,0,0,0,0,113.4687538,34.77291431
1006,4194.876254,0,0,0,0,113.4708674,34.76808062
986,68.80806654,0,0,0,0,113.4710767,34.76088803
987,208.07767,0,0,0,0,113.4734286,34.75508462
986,210.1902448,0,0,0,0,113.4750244,34.74794313
1089,0,0,0,0,0,113.4753306,34.73513291
986,3066.710695,0,0,0,0,113.47144,34.73078819
925,1351.398297,0,0,0,0,113.4706951,34.72635582
956,36.24210492,0,0,0,0,113.4782528,34.83872673
1006,1924.973559,0,0,0,0,113.4800599,34.83465372
1093,3471.960901,0,0,0,0,113.4800599,34.82728137
1093,3624.089066,0,0,0,0,113.4800599,34.81990697
1093,5539.789062,0,0,0,0,113.4800599,34.81253191
1093,8119.26767,0,0,0,0,113.4800599,34.80515619
1093,686.986668,0,0,0,0,113.4810007,34.79895619
991,0,0,0,0,0,113.4834636,34.79044047
986,0,0,0,0,0,113.4832697,34.7830223
986,0,0,0,0,0,113.4836868,34.77910588
986,3145.583904,0,0,0,0,113.4799497,34.76686524
986,1152.688169,0,0,0,0,113.4800599,34.76088803
987,1593.628027,0,0,0,0,113.4800599,34.75350769
987,2070.995337,0,0,0,0,113.4802532,34.74630263
986,0,0,0,0,0,113.481957,34.73811049
986,235.5169636,0,0,0,0,113.4800599,34.73136273
881,2210.409438,0,0,0,0,113.4800764,34.72650367
1093,294.2293817,0,0,0,0,113.4898463,34.83876566
1006,3111.10558,0,0,0,0,113.489043,34.8346551
1093,2397.064943,0,0,0,0,113.489043,34.82728137
1093,2731.093173,0,0,0,0,113.489043,34.81990697
1093,4816.503017,0,0,0,0,113.489043,34.81253191
1093,3378.055741,0,0,0,0,113.489043,34.80515619
1093,4222.89538,0,0,0,0,113.489043,34.79777982
991,1895.876275,0,0,0,0,113.489043,34.79040278
986,0,0,0,0,0,113.489043,34.78302508
986,0,0,0,0,0,113.4907604,34.77621521
986,639.976258,0,0,0,0,113.4895127,34.76769058
986,2653.101344,0,0,0,0,113.489043,34.76088803
986,329.8768201,0,0,0,0,113.489043,34.75350769
986,2961.17083,0,0,0,0,113.489043,34.7461267
986,0,0,0,0,0,113.4890432,34.73874506
986,143.5406976,0,0,0,0,113.489043,34.73136273
887,1315.238964,0,0,0,0,113.4887818,34.72666047
1063,0,0,0,0,0,113.5021406,34.85334064
1063,1245.510891,0,0,0,0,113.5009559,34.84906476
1074,2434.770049,0,0,0,0,113.4996292,34.84120418
1093,4893.979539,0,0,0,0,113.4980262,34.8346551
1093,1979.185346,0,0,0,0,113.4980262,34.82728137
1093,1637.842009,0,0,0,0,113.4980262,34.81990697
1093,7499.782625,0,0,0,0,113.4980262,34.81253191
1093,6035.283554,0,0,0,0,113.4980262,34.80515619
1093,6119.568318,0,0,0,0,113.4980262,34.79777982
994,3002.050979,0,0,0,0,113.4980262,34.79040278
986,0,0,0,0,0,113.4980262,34.78302508
986,0,0,0,0,0,113.4980262,34.77564672
986,0,0,0,0,0,113.4980262,34.76826771
986,5124.544511,0,0,0,0,113.4980262,34.76088803
986,3161.077818,0,0,0,0,113.4980262,34.75350769
986,5046.642298,0,0,0,0,113.4980262,34.7461267
986,1969.395755,0,0,0,0,113.4980262,34.73874504
986,2839.19417,0,0,0,0,113.4980262,34.73136273
