,level_0,类别,评分口味,评分环境,评分服务,人均/元,性价比
0,0,三星半店铺,3.93,3.72,3.8,56.0,0.2044642857142857
1,1,三星半店铺,3.81,3.83,3.76,83.0,0.13734939759036144
2,2,三星店铺,3.74,3.88,3.74,102.0,0.11137254901960784
3,3,四星店铺,4.29,4.31,4.13,85.0,0.14976470588235294
4,4,五星店铺,4.85,4.84,4.81,114.0,0.12719298245614036
5,5,五星店铺,4.87,4.87,4.88,127.0,0.11511811023622048
6,6,三星半店铺,3.61,3.57,3.62,111.0,0.0972972972972973
7,7,三星半店铺,3.72,3.68,3.72,76.0,0.14631578947368423
8,8,三星半店铺,4.23,4.39,4.2,54.0,0.2374074074074074
9,9,四星店铺,4.4,3.85,3.96,59.0,0.2069491525423729
10,10,三星店铺,3.47,3.49,3.51,39.0,0.2684615384615385
11,11,三星半店铺,3.75,3.74,3.76,24.0,0.46875
12,12,三星半店铺,3.77,3.46,3.59,12.0,0.9016666666666667
13,13,三星半店铺,3.96,3.82,3.94,47.0,0.24936170212765954
14,14,三星半店铺,3.84,3.78,3.79,50.0,0.22820000000000001
15,15,三星半店铺,3.71,3.58,3.64,35.0,0.3122857142857143
16,16,四星店铺,4.13,4.14,4.08,62.0,0.19919354838709677
17,17,三星半店铺,3.96,4.03,4.02,48.0,0.2502083333333333
18,18,四星半店铺,4.52,4.62,4.61,59.0,0.2330508474576271
19,19,三星半店铺,3.77,3.72,3.77,41.0,0.27463414634146344
20,20,三星半店铺,3.64,3.59,3.65,106.0,0.10264150943396227
21,21,四星店铺,4.52,4.55,4.39,94.0,0.14319148936170215
22,22,三星半店铺,3.85,3.81,3.84,76.0,0.1513157894736842
23,23,三星半店铺,3.77,3.84,3.82,51.0,0.22411764705882353
24,24,四星店铺,4.35,4.3,4.37,47.0,0.27702127659574466
25,25,三星半店铺,3.93,3.8,3.8,58.0,0.1987931034482759
26,26,四星店铺,4.46,4.14,3.99,80.0,0.157375
27,27,五星店铺,4.88,4.83,4.83,102.0,0.14254901960784314
28,28,三星半店铺,4.24,4.3,4.33,73.0,0.1763013698630137
29,29,四星店铺,4.3,4.48,4.48,80.0,0.16575
30,30,三星半店铺,3.99,4.09,3.93,88.0,0.13647727272727272
31,31,四星半店铺,4.75,4.76,4.71,80.0,0.17775
32,32,四星店铺,4.02,4.34,4.09,92.0,0.13532608695652174
33,33,三星半店铺,3.88,3.89,3.89,87.0,0.13402298850574712
34,34,四星店铺,4.54,4.54,4.36,63.0,0.21333333333333335
35,35,四星店铺,4.35,4.1,4.35,73.0,0.17534246575342463
36,36,三星半店铺,3.84,3.75,3.86,60.0,0.19083333333333333
37,37,三星半店铺,3.92,3.8,3.84,58.0,0.1993103448275862
38,38,三星半店铺,3.79,3.76,3.84,17.0,0.67
39,39,五星店铺,4.89,4.9,4.9,122.0,0.12040983606557376
40,40,三星半店铺,4.23,3.97,3.97,64.0,0.19015625000000003
41,41,三星半店铺,3.85,3.78,3.86,69.0,0.16652173913043478
42,42,三星半店铺,3.86,3.94,3.91,96.0,0.12197916666666668
43,43,三星半店铺,3.86,3.89,3.93,57.0,0.20491228070175438
44,44,五星店铺,4.88,4.88,4.87,129.0,0.11341085271317829
45,45,三星半店铺,3.95,3.92,3.83,76.0,0.1539473684210526
46,46,三星半店铺,3.72,3.54,3.59,18.0,0.6027777777777777
47,47,三星半店铺,4.3,4.15,3.95,64.0,0.19374999999999998
48,48,三星半店铺,3.73,3.73,3.71,24.0,0.46541666666666665
49,49,三星半店铺,3.71,3.85,3.84,61.0,0.18688524590163935
50,50,三星半店铺,3.68,3.65,3.64,48.0,0.22854166666666667
51,51,四星半店铺,4.63,4.51,4.48,83.0,0.16409638554216868
52,52,五星店铺,4.89,4.88,4.88,116.0,0.12629310344827585
53,53,三星半店铺,3.62,3.54,3.57,37.0,0.29000000000000004
54,54,三星半店铺,3.77,3.8,3.65,68.0,0.165
55,55,四星半店铺,4.74,4.73,4.76,64.0,0.22234375
56,56,三星半店铺,3.57,3.62,3.61,30.0,0.36
57,57,三星半店铺,3.82,3.84,3.83,112.0,0.10258928571428572
58,58,三星半店铺,3.73,3.7,3.72,13.0,0.8576923076923078
59,59,三星半店铺,4.08,4.08,3.88,50.0,0.2408
60,60,四星店铺,4.09,4.07,4.02,76.0,0.16026315789473683
61,61,四星店铺,4.29,4.15,4.14,45.0,0.2795555555555556
62,62,三星半店铺,3.97,3.86,3.81,75.0,0.1552
63,63,三星半店铺,3.87,4.03,3.85,68.0,0.17279411764705882
64,64,四星店铺,4.38,4.31,4.3,81.0,0.16037037037037036
65,65,四星半店铺,4.76,4.72,4.75,96.0,0.14822916666666666
66,66,三星半店铺,4.05,3.94,3.95,66.0,0.18090909090909094
67,67,四星店铺,3.96,3.97,3.98,60.0,0.1985
68,68,三星半店铺,3.9,3.89,3.89,66.0,0.17696969696969697
69,69,三星半店铺,3.81,3.79,3.78,54.0,0.21074074074074073
70,70,五星店铺,4.88,4.87,4.87,125.0,0.11696000000000001
71,71,三星半店铺,3.9,3.87,3.9,76.0,0.15355263157894736
72,72,三星半店铺,3.75,3.66,3.61,85.0,0.1296470588235294
73,73,三星半店铺,3.83,3.87,3.72,42.0,0.2719047619047619
74,74,三星半店铺,3.96,3.93,3.96,78.0,0.15192307692307694
75,75,三星半店铺,4.08,4.17,4.11,60.0,0.206
76,76,三星半店铺,3.88,3.95,3.72,49.0,0.23571428571428574
77,77,四星店铺,4.43,4.5,4.27,80.0,0.16499999999999998
78,78,三星半店铺,3.62,3.67,3.63,52.0,0.21
79,79,三星半店铺,3.93,3.92,3.91,62.0,0.1896774193548387
80,80,三星半店铺,3.86,3.82,3.68,66.0,0.17212121212121212
81,81,三星半店铺,3.67,3.7,3.7,63.0,0.1757142857142857
82,82,三星半店铺,3.79,3.69,3.69,50.0,0.2234
83,83,四星店铺,4.1,4.1,4.09,79.0,0.15556962025316454
84,84,三星半店铺,3.82,3.77,3.77,78.0,0.14564102564102563
85,85,四星店铺,4.25,4.2,4.15,104.0,0.12115384615384615
86,86,三星半店铺,3.54,3.56,3.52,54.0,0.19666666666666666
87,87,三星半店铺,4.06,3.96,3.95,14.0,0.8549999999999999
88,88,三星半店铺,3.82,3.94,3.82,89.0,0.1301123595505618
89,89,三星半店铺,3.68,3.65,3.75,44.0,0.25181818181818183
90,90,三星半店铺,3.95,3.9,3.86,49.0,0.23897959183673467
91,91,三星半店铺,3.76,3.76,3.75,54.0,0.2087037037037037
92,92,四星店铺,3.96,3.97,3.97,51.0,0.23333333333333334
93,93,三星店铺,3.53,3.78,3.69,33.0,0.3333333333333333
94,94,三星半店铺,3.84,3.85,3.85,50.0,0.23079999999999998
95,95,三星半店铺,4.1,4.01,3.82,81.0,0.14728395061728394
96,96,三星半店铺,3.91,3.94,3.89,58.0,0.2024137931034483
97,97,三星半店铺,3.89,4.01,3.64,103.0,0.11203883495145632
98,98,三星半店铺,3.67,3.76,3.69,59.0,0.18847457627118644
99,99,四星店铺,4.29,4.31,4.25,106.0,0.12122641509433962
100,100,三星半店铺,3.74,3.83,3.75,59.0,0.19186440677966102
101,101,三星半店铺,3.57,3.64,3.64,66.0,0.1643939393939394
102,102,四星店铺,4.35,4.35,4.23,114.0,0.11342105263157895
103,103,三星半店铺,4.02,4.07,4.04,102.0,0.11892156862745097
104,104,四星店铺,4.43,4.34,4.36,48.0,0.2735416666666666
105,105,五星店铺,4.87,4.87,4.87,85.0,0.17188235294117646
106,106,三星半店铺,3.93,3.72,3.73,68.0,0.1673529411764706
107,107,四星半店铺,4.68,4.69,4.52,58.0,0.23948275862068966
108,108,三星半店铺,3.75,3.94,3.82,77.0,0.1494805194805195
109,109,三星半店铺,3.97,3.73,3.76,91.0,0.12593406593406595
110,110,三星半店铺,3.82,3.66,3.76,17.0,0.6611764705882353
111,111,三星半店铺,3.87,3.75,3.77,49.0,0.23244897959183675
112,112,三星半店铺,3.65,3.61,3.61,68.0,0.1598529411764706
113,113,三星半店铺,3.68,3.71,3.69,55.0,0.20145454545454547
114,114,三星半店铺,3.71,3.68,3.69,81.0,0.13679012345679012
115,115,三星半店铺,3.79,3.81,3.71,18.0,0.6283333333333333
116,116,四星半店铺,4.67,4.62,4.51,79.0,0.17468354430379746
117,117,三星半店铺,4.04,4.0,3.97,79.0,0.1520253164556962
118,118,三星半店铺,3.74,3.66,3.81,51.0,0.21980392156862746
119,119,四星半店铺,4.69,4.58,4.59,61.0,0.22721311475409836
120,120,四星半店铺,4.77,4.73,4.67,88.0,0.16102272727272726
121,121,三星半店铺,3.82,3.76,3.8,37.0,0.30756756756756753
122,122,三星半店铺,3.7,3.58,3.66,59.0,0.18542372881355934
123,123,三星半店铺,3.62,3.55,3.66,69.0,0.15695652173913044
124,124,三星半店铺,3.9,3.88,3.88,62.0,0.18806451612903227
125,125,三星半店铺,3.59,3.55,3.78,50.0,0.2184
126,126,三星半店铺,3.93,3.9,3.95,59.0,0.19966101694915256
127,127,四星店铺,4.1,4.1,4.08,62.0,0.19806451612903225
128,128,三星半店铺,3.82,3.77,3.83,66.0,0.17303030303030303
129,129,四星店铺,4.51,4.42,4.38,82.0,0.16231707317073168
130,130,三星半店铺,3.84,3.94,3.88,48.0,0.24291666666666667
131,131,三星半店铺,3.67,3.66,3.67,25.0,0.44
132,132,四星店铺,4.54,4.3,4.04,99.0,0.13010101010101008
133,133,三星半店铺,4.01,4.01,4.03,60.0,0.20083333333333334
