,类别,标题,经度,纬度
18,三星半店铺,郑州老成都旋转小火锅,113.6169766,34.74304537
20,三星半店铺,郑州围辣串串香,113.611432,34.78810926
21,三星半店铺,郑州水云间老式串串香,113.5424105,34.79771572
126,三星半店铺,郑州云南蒸汽石锅鱼(中原万达店),113.6073523,34.75186043
127,三星半店铺,郑州京途鲜羊涮·羊蝎子·烧烤(华山路店),113.6060458,34.75639401
128,三星半店铺,郑州院子铜锅涮,113.6149529,34.73774305
130,三星店铺,郑州贤合庄卤味火锅(中原万达店),113.6073523,34.75186043
133,四星店铺,郑州黄记煌三汁焖锅(中原万达店),113.621777,34.74166497
134,五星店铺,郑州巴奴毛肚火锅(中原万达店),113.6069034,34.75200828
135,五星店铺,郑州海底捞火锅(中原万达广场店),113.608998,34.75294497
136,三星半店铺,郑州廣顺興猪肚鸡(中原万达店),113.6073523,34.75186043
138,三星店铺,郑州苗岭啤酒鸭泉水鹅(中原万达店),113.61028,34.7434533
140,三星半店铺,郑州二力涮锅(伏牛路店),113.613158,34.74948398
141,三星半店铺,郑州成都串串香(前进路店),113.6144884,34.76931193
142,三星半店铺,郑州娄记成都芳芳串串香,113.6053596,34.76153232
143,三星半店铺,郑州老成都旋转小火锅(中原万达店),113.6169766,34.74304537
146,三星半店铺,郑州汇祥斋涮锅(前进路店),113.6157986,34.75823066
148,三星半店铺,郑州锅大侠市集火锅(中原万达2楼店),113.6079698,34.75246517
149,四星店铺,郑州川妹子串串香,113.61356,34.75595101
150,三星半店铺,郑州申记五香豆腐皮(岗坡路总店),113.6144899,34.7577408
151,三星店铺,郑州渔村王婆大虾,113.5976394,34.73683073
152,三星半店铺,郑州成都串串香(中原万达金街店),113.6078927,34.7518671
153,三星半店铺,郑州锅小递火锅外卖(中原万达店),113.6073523,34.75186043
157,三星半店铺,郑州沙记博爱丸子汤牛羊杂汤,113.6132074,34.7475417
158,三星半店铺,郑州清真·王记牛肚火锅(中原万达店),113.6073523,34.75186043
159,三星半店铺,郑州熊记火盆景鱼火锅,113.6040497,34.73949313
160,三星半店铺,郑州香满楼地锅(华山路总店),113.601488,34.75574504
161,三星半店铺,郑州老马家驴肉烩面火锅,113.6123093,34.74875421
163,四星店铺,郑州一嘴香·烂摊摊火锅集市(前进路店),113.6168544,34.74811021
164,三星半店铺,郑州王婆大虾(中原万达店),113.606619,34.75170694
165,四星半店铺,郑州匠岳?王宝器麻椒鱼(中原万达店),113.6073523,34.75186043
166,三星半店铺,郑州王婆大虾(前进路店),113.6158848,34.75479658
167,三星半店铺,郑州牧尔膳冰煮羊火锅(中原万达店),113.6073523,34.75186043
169,四星店铺,郑州豆捞坊(中原万达店),113.6073523,34.75186043
170,三星半店铺,郑州龙泉居羊蝎子火锅,113.5305452,34.81563457
171,三星半店铺,郑州一品私厨烧烤炖羊肉,113.6135296,34.75539545
172,三星半店铺,郑州耍牛忙串串香(中原万达店),113.6053596,34.76153232
173,四星店铺,郑州麻辣森林串串香火锅(前进路店),113.616091,34.75582096
182,三星半店铺,郑州金椒鱼火锅店(市场街总店),113.6210873,34.76072384
184,四星店铺,郑州舒来喜鱼锅(伊河路直营店),113.621358,34.74891496
190,五星店铺,郑州豆捞坊(锦艺城购物C区店),113.616552,34.76807467
192,三星半店铺,郑州廣順興猪肚鸡(锦艺城店),113.6171059,34.76862836
194,四星店铺,郑州云鼎汇砂焖锅(锦艺城店),113.616552,34.76807467
196,三星半店铺,郑州京途鲜羊涮·羊蝎子·烧烤(秦岭路店),113.610427,34.76701198
197,四星半店铺,郑州粤小煲猪肚鸡(锦艺城店),113.6171059,34.76862836
198,四星店铺,郑州清真·岁岁羊京川融合火锅(锦艺城店),113.6162676,34.76831375
199,三星半店铺,郑州海鲜与炖锅(锦艺城店),113.616552,34.76807467
200,三星半店铺,郑州清真·老北京涮锅(锦艺城店),113.616552,34.76807467
201,四星店铺,郑州呷哺呷哺(郑州锦艺城店),113.616552,34.76807467
202,四星店铺,郑州粤趣猪肚鸡(锦艺城店),113.6171059,34.76862836
204,三星半店铺,郑州东北野生大鱼坊(秦岭路店),113.6078369,34.77835341
208,三星半店铺,郑州老成都旋转小火锅(锦艺城店),113.616552,34.76807467
210,三星半店铺,郑州王婆大虾(锦艺城店),113.615458,34.76901533
212,三星半店铺,郑州火锅快跑,113.6017947,34.78065564
213,三星半店铺,郑州祥顺骨汤串串香,113.6174653,34.76926997
214,五星店铺,郑州海底捞火锅(锦艺城店),113.612727,34.769028
215,三星半店铺,郑州正宗钢管厂五区小郡肝串串香(锦艺城店),113.6157244,34.76892044
220,三星半店铺,郑州su?鱼火锅(锦艺城旗舰店),113.616552,34.76807467
221,三星半店铺,郑州尚鸽皇鸽子养生火锅,113.619635,34.76438896
222,三星半店铺,郑州牛小章牛杂煲(锦艺城店),113.616552,34.76807467
223,五星店铺,郑州巴奴毛肚火锅(锦艺店),113.6154968,34.76829692
224,三星半店铺,郑州黄记煌三汁焖锅(锦艺城店),113.6169998,34.76771394
225,三星半店铺,郑州郑记成都串串香,113.6059788,34.76003686
226,三星半店铺,郑州晓蜀记老成都火锅串串香(锦艺城直营店),113.6164605,34.76881814
228,三星半店铺,郑州锅小递火锅外卖(锦艺城店),113.616552,34.76807467
229,三星半店铺,郑州锦凤堂酸菜鸡(锦艺城店),113.616552,34.76807467
230,三星半店铺,郑州牛小纯砂锅涮牛肚(锦艺城店),113.6193966,34.76846193
231,四星半店铺,郑州沙胆彪炭炉牛杂煲(锦艺城C区店),113.612447,34.76912386
261,三星半店铺,郑州围辣串串香(索凌路店),113.611432,34.78810926
336,五星店铺,郑州海底捞火锅(海汇港店),113.6090565,34.75207108
351,三星半店铺,郑州和义重庆老火锅,113.5251018,34.81609614
354,三星店铺,郑州重庆火锅鱼虾之恋,113.6128669,34.74876021
370,三星半店铺,郑州小V家秘制火锅鸡(玉凤路沈庄街店),113.606771,34.73853396
431,三星半店铺,郑州醉重庆老版火锅(纬四路店),113.5251018,34.81609614
455,四星半店铺,郑州胡记串串香,113.6026794,34.78873811
484,三星半店铺,郑州老成都旋转小火锅(二七万达店),113.6169766,34.74304537
518,三星半店铺,郑州潮汕记生鲜牛肉火锅(升龙国际店),113.6072246,34.75116456
535,三星半店铺,郑州红焖羊肉小馆,113.6132426,34.75260782
543,三星半店铺,郑州四川串串香(淮南街店),113.6198436,34.7662083
566,三星半店铺,郑州汉林轩食光圈旋转自助小火锅,113.5224246,34.72135242
584,三星半店铺,郑州夫妻串串香,113.6026794,34.78873811
610,三星半店铺,郑州麻辣森林牛肉鮮貨火鍋,113.616091,34.75582096
626,三星半店铺,郑州川东王牛杂火锅,113.5469729,34.80555295
628,四星店铺,郑州赏渔?重庆鱼火锅,113.560573,34.82788442
632,三星半店铺,郑州京鼓巷铜锅涮(1店),113.6149529,34.73774305
638,三星半店铺,郑州三合鼎盛铜锅涮(百福街店),113.6149529,34.73774305
650,三星半店铺,郑州围辣串串香王浩(卢浮宫馆店),113.611432,34.78810926
655,三星半店铺,郑州围辣串串香(十里铺店),113.611432,34.78810926
658,三星半店铺,郑州海小弟旋转小火锅,113.6136851,34.74932419
695,四星店铺,郑州小V家秘制火锅鸡(宏图街店),113.606771,34.73853396
698,三星半店铺,郑州牛师傅音乐餐厅火锅鸡,113.5081593,34.81718605
711,三星半店铺,郑州海皇粥港式茶餐厅,113.5428386,34.80713745
726,三星半店铺,郑州有拈头成都市井火锅(石楠路店),113.5579742,34.82545912
727,三星店铺,郑州成都印象市井串串火锅(谦祥万和城店),113.5453716,34.83939362
728,四星店铺,郑州小胡同前门涮锅(瑞达路店),113.585761,34.790092
730,四星半店铺,郑州小拙匠火锅(玉兰街店),113.5700516,34.81036274
731,三星半店铺,郑州大草原羊架子馆(瑞达路店),113.5748539,34.804322
735,三星店铺,郑州大煌门串串火锅(梧桐街店),113.5475676,34.80036005
739,三星半店铺,郑州香满楼音乐火锅(莲花市场店),113.5386453,34.83261609
740,三星半店铺,郑州金元甲甲鱼馆(公园茂店),113.562992,34.82615298
741,三星半店铺,郑州少掌柜火锅鸡(兰寨新城店),113.5526124,34.79474397
742,四星店铺,郑州俏椒川味老火锅(谦祥万和城店),113.5482567,34.83931281
745,三星半店铺,郑州牧羊府冰煮羊(柒星城店),113.587133,34.78851095
746,三星半店铺,郑州七一火锅(高新区店),113.5676419,34.82428023
748,三星半店铺,郑州深海纸包鱼(高新万科城店),113.528416,34.81639998
749,五星店铺,郑州巴奴毛肚火锅(公园茂店),113.563263,34.82751396
752,三星半店铺,郑州重庆十七门老火锅(高新万科旗舰店),113.5313057,34.81313143
756,三星半店铺,郑州京途鲜羊涮·羊蝎子·烧烤(莲花街店),113.5646706,34.83241853
758,三星半店铺,郑州俏喜鸭鸭头馋虾(高新区店),113.5594932,34.84485362
759,三星半店铺,郑州三不牛腩(高新万科店),113.5313717,34.81279558
761,三星半店铺,郑州肆佰度秘制烤鱼(高新万达店),113.6073523,34.75186043
763,三星半店铺,郑州王婆大虾(郑大南门店),113.544796,34.83547098
764,三星半店铺,郑州喜虾客(公园茂店),113.562127,34.82626099
767,三星半店铺,郑州胖哥串串香(丁香里店),113.5650948,34.80163802
768,三星半店铺,郑州芭蕉巷火锅(正弘数码港店),113.5715601,34.81118792
769,三星半店铺,郑州常记串串香,113.6026794,34.78873811
776,三星店铺,郑州阿牛泥炉牛铺烧烤(石楠路店),113.5579742,34.82545912
778,三星半店铺,郑州鱼蛙江湖.美蛙鱼头火锅(翰林国际店),113.5531127,34.83065059
779,三星半店铺,郑州牛兄弟涮牛肚(高新区店),113.5334046,34.83641087
784,三星半店铺,郑州信阳胖老陈串串香,113.6026794,34.78873811
786,三星店铺,郑州李勇刚串串香店,113.5531439,34.81026227
787,三星半店铺,郑州羊鼎轩羊蝎子火锅,113.5305452,34.81563457
788,四星店铺,郑州京馆涮(公园茂店),113.563004,34.82623795
789,三星半店铺,郑州南流老店,113.5751419,34.79947037
791,三星半店铺,郑州一家乐火锅(西环店),113.5819851,34.75237575
794,三星半店铺,郑州老北京旋转小火锅(公园茂店),113.562992,34.82615298
795,三星半店铺,郑州围辣串串香(雪松路店),113.5671571,34.80269834
796,三星半店铺,郑州凡记串串香(升龙又一城店),113.549593,34.81132188
800,三星半店铺,郑州王婆大虾(石楠路店),113.5579742,34.82545912
802,三星店铺,郑州串来串趣串串香,113.5539484,34.79273881
803,三星半店铺,郑州逍遥胡辣汤老胡同串串香(大里·鑫桂源店),113.5566047,34.81919506
804,三星半店铺,郑州刘家肴砂锅养身炖羊肉火锅,113.5654091,34.75854605
808,三星半店铺,郑州明香斋铜锅涮,113.5650413,34.75846101
809,三星半店铺,郑州舒来喜鱼火锅(高新区店),113.552493,34.80853297
810,三星半店铺,郑州王红玲串串香,113.6026794,34.78873811
813,三星半店铺,郑州川式新派养生火锅,113.5302327,34.763829
814,三星店铺,郑州签上王串串香,113.5661312,34.80387045
815,三星半店铺,郑州魏记串串香,113.5900556,34.75162812
817,三星半店铺,郑州潮汕生鲜牛肉火锅牛人码头,113.5753357,34.81096846
818,三星半店铺,郑州王婆大虾(工大东门店),113.5642957,34.83588015
819,四星店铺,郑州如意馆铜锅涮,113.6149529,34.73774305
821,三星半店铺,郑州京顺斋涮锅(玉兰街店),113.570542,34.81052493
822,四星店铺,郑州海底捞火锅(翰林国际店),113.5531127,34.83065059
823,三星半店铺,郑州一家乐火锅(华山店),113.5819851,34.75237575
824,三星半店铺,郑州小魏串串王,113.5643264,34.83703328
825,三星半店铺,郑州蜀大侠地道老成都火锅(高新区瑞达路店),113.5887069,34.78717149
826,三星半店铺,郑州赵氏王婆大虾(金梭路店),113.5709388,34.80920005
827,三星半店铺,郑州鱼蛙江湖.美蛙鱼头火锅(万和城店),113.5453716,34.83939362
828,三星半店铺,郑州李二鲜鱼火锅(高新区店),113.524947,34.81686199
829,四星店铺,郑州王婆大虾(睿达广场店),113.574306,34.80234895
830,三星店铺,郑州老狼大盘鸡第二季,113.553043,34.809953
831,三星半店铺,郑州郭记鱼莊,113.5318839,34.77600065
832,三星半店铺,郑州帝牛.川式火锅,113.575456,34.79965696
833,三星半店铺,郑州齐祺渔锅(公园茂店),113.563142,34.82675095
834,三星半店铺,郑州杨翔豆皮涮牛肚(公园茂店),113.563168,34.82585837
835,三星半店铺,郑州小龙坎火锅(公园茂店),113.5632211,34.82577162
837,三星半店铺,郑州小秦川风味店,113.5820135,34.7522253
838,三星半店铺,郑州四季味串串屋(河南工业大学店),113.5621695,34.83539802
839,四星店铺,郑州海底捞火锅(高新万达店),113.6073523,34.75186043
