人口密度,长度,道路计数,火锅店数,四星半计数,四星级计数,三星半计数,纬度,经度
808,1264.196357,6,0,0,0,0,34.70981683,113.50508
1050,4077.894475,18,0,0,0,0,34.7049389,113.5044711
2547,2343.037719,5,0,0,0,0,34.69714753,113.5044256
2547,2063.793584,5,0,0,0,0,34.68998461,113.5044684
5057,1536.535364,5,0,0,0,0,34.68219268,113.5039514
5055,647.7796997,2,0,0,0,0,34.67516158,113.5033544
4051,383.714013,1,0,0,0,0,34.66828808,113.5042574
1749,652.8937992,4,0,0,0,0,34.65981646,113.5061774
865,1674.415854,5,0,0,0,0,34.65187197,113.5038808
748,755.8600949,8,0,0,0,0,34.64668078,113.5039455
1166,0,0,0,0,0,0,34.64176079,113.5067101
986,284.5731758,2,0,0,0,0,34.71732831,113.5127668
986,3625.358989,10,0,0,0,0,34.71193116,113.5115208
1680,7679.275467,24,0,0,0,0,34.70466878,113.5113282
5057,5552.069286,11,0,0,0,0,34.69728342,113.5113282
5055,2024.50774,6,0,0,0,0,34.6898974,113.5113282
5055,3545.17613,8,0,0,0,0,34.68251072,113.5113282
4957,9718.863099,38,0,0,0,0,34.67512339,113.5113282
2698,7151.705341,22,0,0,0,0,34.66773539,113.5113282
2656,1104.128311,5,0,0,0,0,34.66034209,113.5113399
1313,318.472264,1,0,0,0,0,34.65295743,113.5113282
1166,750.7015177,2,0,0,0,0,34.64556746,113.5113282
1166,884.9771607,1,0,0,0,0,34.63936777,113.5126182
986,354.5015106,1,0,0,0,0,34.71758792,113.5201835
1717,4474.185266,10,2,0,0,1,34.71205348,113.5203114
4728,9538.788942,25,0,0,0,0,34.70466878,113.5203114
5057,3421.512353,11,0,0,0,0,34.69728342,113.5203114
5057,3754.774564,6,0,0,0,0,34.6898974,113.5203114
2656,3007.724657,10,0,0,0,0,34.68251072,113.5203114
2656,1682.014928,4,0,0,0,0,34.67512339,113.5203114
2656,2225.506217,12,0,0,0,0,34.66773539,113.5203114
2656,1843.121325,6,0,0,0,0,34.66034674,113.5203114
2656,1459.255442,2,0,0,0,0,34.65295743,113.5203114
2656,1047.85536,3,0,0,0,0,34.64556746,113.5203114
2656,1125.686832,2,0,0,0,0,34.63817772,113.5203124
2656,0,0,0,0,0,0,34.63255594,113.5218798
2958,423.0721655,2,0,0,0,0,34.71725723,113.5266337
3481,4351.810826,10,0,0,0,0,34.71164487,113.5279629
5057,4522.302199,19,0,0,0,0,34.70464997,113.5292706
4989,8757.690719,25,0,0,0,0,34.69728342,113.5292945
4989,6484.700816,17,0,0,0,0,34.6898974,113.5292945
3782,3134.766871,19,0,0,0,0,34.68251072,113.5292945
2646,1129.144965,4,0,0,0,0,34.67512339,113.5292945
2656,1501.276193,3,0,0,0,0,34.66773539,113.5292945
2656,2245.949216,7,0,0,0,0,34.66034674,113.5292945
2656,1036.05246,2,0,0,0,0,34.65295743,113.5292945
2656,744.2168924,1,0,0,0,0,34.64556746,113.5292945
2656,354.4795763,1,0,0,0,0,34.63817683,113.5292945
2656,0,0,0,0,0,0,34.63116356,113.5295342
1552,0,0,0,0,0,0,34.62446569,113.5329501
748,0,0,0,0,0,0,34.61729663,113.5334634
3023,902.7732517,5,0,0,0,0,34.7030874,113.5352064
1063,6767.712977,18,0,0,0,0,34.69701766,113.5380597
1063,1493.160047,4,0,0,0,0,34.6898974,113.5382777
1063,2325.250393,6,0,0,0,0,34.68251072,113.5382777
2589,1084.311186,1,0,0,0,0,34.67512339,113.5382777
2656,1402.783008,3,0,0,0,0,34.66773539,113.5382777
