,类别,评分口味,评分环境,评分服务,人均/元,性价比
0,四星店铺,4.06,4.13,3.98,93.0,0.13086021505376344
1,三星半店铺,4.45,4.44,4.22,62.0,0.2114516129032258
2,四星店铺,4.59,4.5,4.59,94.0,0.14553191489361703
3,三星半店铺,3.61,3.61,3.67,67.0,0.16253731343283584
4,四星半店铺,4.6,4.41,4.31,89.0,0.1496629213483146
5,三星半店铺,3.7,3.53,3.58,43.0,0.2513953488372093
6,四星店铺,4.07,3.93,3.93,44.0,0.2711363636363636
7,三星半店铺,3.97,3.8,3.82,71.0,0.16323943661971832
8,三星店铺,3.61,3.58,3.59,70.0,0.154
9,三星半店铺,3.92,3.89,4.01,70.0,0.16885714285714287
10,三星半店铺,4.04,4.08,3.83,77.0,0.15519480519480522
11,三星半店铺,3.64,3.65,3.66,60.0,0.1825
12,三星半店铺,3.88,3.85,3.88,41.0,0.28317073170731705
13,三星半店铺,3.59,3.55,3.56,65.0,0.1646153846153846
14,四星店铺,4.15,3.81,3.82,73.0,0.16136986301369866
15,三星半店铺,4.03,4.19,4.04,156.0,0.0785897435897436
16,三星半店铺,3.54,3.54,3.54,52.0,0.20423076923076924
17,三星半店铺,3.59,3.62,3.61,52.0,0.20807692307692308
18,三星半店铺,3.77,3.83,3.75,76.0,0.1493421052631579
19,四星店铺,4.33,4.28,3.93,89.0,0.14089887640449436
20,四星半店铺,4.74,4.71,4.73,90.0,0.15755555555555556
21,五星店铺,4.87,4.87,4.84,108.0,0.135
22,四星半店铺,4.66,4.58,4.53,72.0,0.19125
23,四星店铺,4.08,4.07,4.46,23.0,0.5482608695652174
24,四星店铺,4.5,4.37,4.39,62.0,0.2138709677419355
25,四星店铺,4.23,4.26,3.97,85.0,0.14658823529411766
26,三星半店铺,3.6,3.6,3.61,63.0,0.1715873015873016
27,三星半店铺,3.82,3.85,3.7,85.0,0.13376470588235295
28,三星半店铺,3.84,3.86,3.79,78.0,0.14730769230769228
29,三星半店铺,4.09,4.02,3.98,45.0,0.26866666666666666
30,四星半店铺,4.6,4.66,4.57,89.0,0.1553932584269663
31,三星半店铺,3.73,3.71,3.77,69.0,0.16246376811594201
32,四星店铺,4.58,4.31,4.4,53.0,0.2507547169811321
33,三星半店铺,3.85,3.82,3.84,91.0,0.1264835164835165
34,三星半店铺,3.7,3.61,3.68,56.0,0.19625
35,三星半店铺,3.9,3.81,3.75,101.0,0.11346534653465347
36,三星店铺,3.58,3.72,3.67,88.0,0.12465909090909091
37,三星店铺,3.1,3.17,3.2,64.0,0.14796874999999998
38,三星半店铺,3.98,4.03,3.94,32.0,0.3734375
39,四星店铺,4.16,4.17,4.27,23.0,0.5478260869565217
40,三星半店铺,3.91,4.0,4.05,52.0,0.23
41,三星半店铺,3.8,3.83,3.86,40.0,0.28725
42,三星半店铺,3.82,3.93,3.75,64.0,0.1796875
43,四星半店铺,4.75,4.81,4.84,91.0,0.15824175824175823
44,三星半店铺,3.77,3.81,3.78,65.0,0.17476923076923076
45,四星半店铺,4.68,4.65,4.43,113.0,0.12176991150442477
46,三星半店铺,3.93,3.95,3.86,25.0,0.4696
47,四星半店铺,4.62,4.69,4.67,87.0,0.1606896551724138
48,三星半店铺,3.93,3.89,3.92,34.0,0.3452941176470588
49,五星店铺,4.89,4.88,4.87,123.0,0.11902439024390245
50,四星店铺,4.66,4.62,4.54,92.0,0.15021739130434783
51,四星店铺,4.39,4.24,4.11,67.0,0.19014925373134325
52,四星店铺,4.51,4.22,4.17,68.0,0.18970588235294117
53,三星半店铺,3.95,3.97,3.93,31.0,0.38225806451612904
54,三星半店铺,3.98,3.94,3.97,95.0,0.1251578947368421
55,三星半店铺,3.72,3.69,3.69,108.0,0.10277777777777777
56,四星店铺,4.65,4.4,4.26,94.0,0.14159574468085107
57,四星半店铺,4.84,4.82,4.82,130.0,0.11138461538461539
58,三星半店铺,4.15,3.93,3.87,52.0,0.2298076923076923
59,四星店铺,3.96,4.17,4.04,65.0,0.1872307692307692
60,三星店铺,3.82,3.75,3.67,66.0,0.17030303030303032
61,三星半店铺,3.54,3.63,3.6,25.0,0.43079999999999996
62,三星半店铺,3.98,3.84,4.13,142.0,0.08415492957746479
63,四星店铺,4.48,4.58,4.57,67.0,0.20343283582089552
64,三星半店铺,3.98,3.88,3.82,34.0,0.34352941176470586
65,三星半店铺,3.59,3.66,3.64,71.0,0.15338028169014084
66,四星店铺,4.1,4.03,4.12,61.0,0.20081967213114754
67,三星半店铺,3.75,3.78,3.68,49.0,0.2287755102040816
68,三星半店铺,3.71,3.81,3.77,67.0,0.16850746268656716
69,三星半店铺,3.99,4.13,3.92,25.0,0.48160000000000003
70,三星半店铺,3.7,3.57,3.71,62.0,0.17709677419354838
71,四星店铺,4.16,4.22,4.25,63.0,0.20047619047619045
72,四星店铺,4.61,4.6,4.35,89.0,0.15235955056179776
73,四星半店铺,4.67,4.91,4.82,132.0,0.1090909090909091
74,三星半店铺,4.43,4.28,4.29,83.0,0.1566265060240964
75,三星半店铺,4.2,4.19,4.22,100.0,0.1261
76,三星半店铺,4.37,4.14,4.11,57.0,0.22140350877192985
77,三星店铺,3.73,3.66,3.58,101.0,0.10861386138613863
78,三星半店铺,3.88,3.73,3.86,60.0,0.19116666666666665
79,四星店铺,4.02,4.12,4.07,24.0,0.50875
80,三星半店铺,3.84,3.71,3.74,31.0,0.3641935483870967
81,三星半店铺,3.53,3.31,3.57,58.0,0.17948275862068966
82,三星半店铺,3.95,4.09,4.13,83.0,0.14662650602409635
83,三星半店铺,3.93,3.88,3.84,48.0,0.24270833333333333
84,三星半店铺,4.02,3.97,3.91,149.0,0.07986577181208054
85,三星半店铺,3.89,3.57,3.61,66.0,0.16772727272727272
86,四星半店铺,4.67,4.43,4.39,88.0,0.15329545454545454
