,类别,标题,经度,纬度
37,三星半店铺,郑州蘑菇鸡,113.6314192,34.75343885
62,三星半店铺,郑州希有煮艺·潮汕药膳养生锅,113.6314192,34.75343885
79,三星店铺,郑州港岛和园,113.6252417,34.71445583
82,三星半店铺,郑州泰香居,113.6314192,34.75343885
100,三星半店铺,郑州食单荣府海鲜火锅,113.6314192,34.75343885
116,四星店铺,郑州百鱼季·养生火锅,113.6314192,34.75343885
125,三星半店铺,郑州胡涂老串串牛油火锅(中原万达店),113.649576,34.73098994
144,三星半店铺,郑州曹三绝罈子焖鸡,113.6314192,34.75343885
145,四星店铺,郑州京馆涮(中原万达店),113.6490784,34.72427091
155,三星半店铺,郑州文明鱼锅,113.6314192,34.75343885
174,三星半店铺,郑州清真·老北京铜锅涮(碧沙岗店),113.6309493,34.76081206
175,四星半店铺,郑州林记盆景鱼火锅(伊河路店),113.6287536,34.74897903
176,三星店铺,郑州丹江炉鱼火锅,113.634133,34.75052696
180,三星半店铺,郑州佰人王串串香火锅(建设路店),113.63388,34.76143393
183,四星店铺,郑州佰人王串串香火锅(工人路店),113.6270407,34.74961352
186,三星半店铺,郑州国棉三厂老铜锅,113.625529,34.76496395
188,三星店铺,郑州小小涮肉坊,113.6233939,34.71268141
191,三星半店铺,郑州五厂老铜锅,113.625529,34.76496395
203,三星半店铺,郑州佳喜鱼锅,113.6314192,34.75343885
209,三星半店铺,郑州老北京旋转小火锅(锦艺城店),113.6300877,34.76578929
235,三星半店铺,郑州重庆八爷香辣鱼火锅,113.6314192,34.75343885
236,三星半店铺,郑州固始鹅煲(顺河路店),113.6314192,34.75343885
241,三星半店铺,郑州胡涂老串串牛油火锅(天旺广场店),113.649576,34.73098994
251,三星半店铺,郑州洪门涮肉,113.6314192,34.75343885
264,三星半店铺,郑州无刺鱼片,113.6314192,34.75343885
300,三星半店铺,郑州锦翔炝锅魚,113.6314192,34.75343885
301,三星半店铺,郑州牛大叔肥牛焖鸡饭,113.6314192,34.75343885
306,三星半店铺,郑州御兴斋火锅鱼(顺城街店),113.6314192,34.75343885
313,三星半店铺,郑州川贵啤酒鸭,113.6573814,34.74379552
314,三星店铺,郑州麻辣派对(美食广场店),113.6227595,34.71784426
315,三星半店铺,郑州丁丁红时尚火锅,113.6314192,34.75343885
319,三星半店铺,郑州草原兴发羔羊涮(陇海路店),113.6483202,34.74244036
331,四星店铺,郑州樊老七乡村地锅柴鸡(总店),113.6248936,34.69788588
339,三星半店铺,郑州拾壹锅,113.6314192,34.75343885
343,三星半店铺,郑州晓巷串串,113.6314192,34.75343885
345,四星店铺,郑州肥隆港式海鲜火锅,113.6314192,34.75343885
348,三星半店铺,郑州合泰海鲜火锅,113.6314192,34.75343885
353,三星店铺,郑州奇缘斋槐山羊,113.6314192,34.75343885
355,三星半店铺,郑州民商餐厅,113.6314192,34.75343885
399,三星半店铺,郑州李洪宾火锅,113.6314192,34.75343885
418,三星店铺,郑州慢生活火锅SlowLife,113.6466078,34.73213083
424,三星店铺,郑州大明火锅超市,113.6314192,34.75343885
433,三星半店铺,郑州晓滋海鲜自助火锅,113.6314192,34.75343885
449,三星半店铺,郑州亚洲火鍋公司,113.6314192,34.75343885
452,四星店铺,郑州贤合庄卤味火锅(二七万达店),113.6490784,34.72427091
456,四星半店铺,郑州京馆涮(二七万达店),113.6491099,34.72542472
457,五星店铺,郑州豆捞坊(二七万达店),113.6490784,34.72427091
458,三星店铺,郑州潮汕和记生鲜牛肉火锅(二七万达店),113.647965,34.72144796
459,三星半店铺,郑州娟姐鱼锅,113.6314192,34.75343885
460,四星半店铺,郑州付小姐在成都(万千世纪城店),113.6463702,34.72045839
462,四星店铺,郑州蜀遇串串料理,113.6314192,34.75343885
463,三星半店铺,郑州大胖火堂(万达广场店),113.6490784,34.72427091
464,四星店铺,郑州锅大侠市集火锅(二七万达店),113.647965,34.72144796
465,四星店铺,郑州黄记煌三汁焖锅(二七万达店),113.6492939,34.72578415
466,三星半店铺,郑州兵哥铁锅羊拐筋(二七万达2店),113.6488961,34.72290859
467,三星半店铺,郑州觅辣重庆火锅,113.6489359,34.72503221
469,三星半店铺,郑州正宗钢管厂五区小郡肝火锅串串香(二七万达店),113.6490784,34.72427091
470,三星半店铺,郑州喜虾客(二七万达店),113.6485826,34.7248608
472,四星半店铺,郑州潮辣矿泉水火锅(二七万达店),113.6490784,34.72427091
473,三星半店铺,郑州浙渔家·海鲜大咖·烧烤(二七万达店),113.6490784,34.72427091
474,三星店铺,郑州美味坊好人家鱼锅(二七万达店),113.6490784,34.72427091
476,三星半店铺,郑州虾说(二七万达店),113.6490784,34.72427091
477,三星店铺,郑州20元肥牛火锅,113.6314192,34.75343885
478,三星半店铺,郑州辣小灶成都盅盅小火锅(二七万达店),113.6490784,34.72427091
479,三星半店铺,郑州吾蜀巷子重庆小火锅(二七万达店),113.6490784,34.72427091
483,四星店铺,郑州陈实在豆花鱼(行云路店),113.6314192,34.75343885
485,三星半店铺,郑州张记焖面大盘鸡碳锅鱼,113.6478409,34.72139426
486,三星半店铺,郑州刘赫涵骨汤串串香(二七万达店),113.6490784,34.72427091
488,三星半店铺,郑州潮汕鼎记生鲜牛肉火锅(嵩山南路店),113.6334611,34.71562966
490,三星半店铺,郑州兄弟俩肉蟹煲,113.6487774,34.72358972
491,三星半店铺,郑州升级版鸡蛋灌饼(汉江路店),113.6482342,34.72416522
492,四星店铺,郑州九川牛坊牛杂火锅(人和路店),113.6314192,34.75343885
496,三星半店铺,郑州齐祺渔锅(亚星盛世店),113.6323121,34.71504586
498,三星店铺,郑州杨百福赫记(万千串串店),113.6476632,34.72286883
499,三星店铺,郑州一品焖锅(二七万达店),113.6493006,34.72416641
500,三星店铺,郑州王婆大虾(二七万达店),113.64821,34.72395494
503,三星半店铺,郑州北家姓转转小火锅(二七万达店),113.6483369,34.72416589
504,四星店铺,郑州自由煮艺自助小火锅(二七万达店),113.6490784,34.72427091
505,三星半店铺,郑州厨乡海霸王生态火锅,113.6314192,34.75343885
506,三星半店铺,郑州蘸客炸涮串串(二七万达店),113.6490784,34.72427091
508,三星半店铺,郑州渝家缘新派火锅(二七万达店),113.6490784,34.72427091
509,四星半店铺,郑州如一鸡鲍鱼(二七万达店),113.6490784,34.72427091
510,三星店铺,郑州煲二爷(二七万达店),113.6490784,34.72427091
517,三星半店铺,郑州家门口碳锅鸡碳锅鱼(淮南街店),113.6531915,34.7132107
519,三星半店铺,郑州恰享苏鲁锭冰煮羊,113.6314192,34.75343885
520,四星半店铺,郑州额尔敦传统涮(人和路店),113.6470463,34.73366269
522,三星半店铺,郑州逛呲涮吧农民火锅(升龙店),113.6233745,34.72658734
523,四星半店铺,郑州川濮火锅(人和路总店),113.647216,34.73225194
