,经度,纬度,finial_score_四星半
0,113.6131838,34.82803412,
1,113.6042006,34.8132848,
2,113.6131838,34.82065979,
3,113.6131838,34.8132848,
4,113.6042006,34.82803412,
5,113.6401332,34.87226623,
6,113.6042006,34.82065979,
7,113.6670827,34.87963594,
8,113.6042006,34.8427808,
9,113.6670827,34.85752483,
10,113.6207441,34.81304207,
11,113.6131854,34.80591054,
12,113.6220649,34.80583706,
13,113.6209438,34.82081685,
14,113.6670827,34.87226623,
15,113.6580995,34.87226623,
16,113.6311501,34.87226623,
17,113.6580995,34.86489586,
18,113.6221506,34.79854671,
19,113.6218411,34.82818303,
