,经度,纬度,finial_score_四星半
0,113.5001459,34.95209882,
1,113.5005568,34.9487682,
2,113.5005149,34.93706788,
3,113.4987278,34.93039185,
4,113.4975094,34.92374786,
5,113.495897,34.91973172,
6,113.4998974,34.89129254,
7,113.4978244,34.88662027,
8,113.4967007,34.8795614,
9,113.4966946,34.8728348,
10,113.5004571,34.8680979,
11,113.5058424,34.96794592,
12,113.5056727,34.96063607,
13,113.5054149,34.95327568,
14,113.5055495,34.94599202,
15,113.5053982,34.93856063,
16,113.5053859,34.93120538,
17,113.5056642,34.92401517,
18,113.506056,34.91642499,
19,113.5063135,34.90926922,
