,level_0,类别,评分口味,评分环境,评分服务,人均/元,性价比
0,0,三星半店铺,3.91,3.77,3.93,43.0,0.26999999999999996
1,1,三星店铺,3.63,3.6,3.65,82.0,0.1326829268292683
2,2,三星半店铺,3.76,3.78,3.72,66.0,0.1706060606060606
3,3,三星半店铺,3.85,3.89,3.9,31.0,0.37548387096774194
4,4,三星半店铺,3.53,3.55,3.55,25.0,0.42519999999999997
5,5,三星半店铺,4.22,4.46,4.23,79.0,0.16341772151898734
6,6,三星半店铺,3.95,3.9,3.9,81.0,0.14506172839506173
7,7,三星半店铺,3.96,4.03,3.96,21.0,0.569047619047619
8,8,三星半店铺,3.75,3.73,3.68,51.0,0.21882352941176472
9,9,三星半店铺,3.91,3.86,3.9,66.0,0.17681818181818182
10,10,四星店铺,4.52,4.57,4.5,41.0,0.33146341463414636
11,11,四星半店铺,4.67,4.82,4.76,64.0,0.22265625
12,12,三星半店铺,3.77,3.79,3.79,50.0,0.22700000000000004
13,13,三星半店铺,3.63,3.59,3.62,50.0,0.2168
14,14,三星半店铺,3.83,3.77,3.76,28.0,0.4057142857142857
15,15,三星半店铺,3.72,3.62,3.6,58.0,0.1886206896551724
16,16,三星半店铺,3.87,3.76,3.78,82.0,0.13914634146341465
17,17,四星店铺,4.25,4.1,4.19,54.0,0.23222222222222222
18,18,三星半店铺,3.71,3.65,3.71,87.0,0.12724137931034482
19,19,四星店铺,4.54,4.38,4.35,65.0,0.20415384615384616
20,20,三星店铺,3.6,3.61,3.57,28.0,0.38499999999999995
21,21,四星店铺,4.19,4.37,4.17,92.0,0.1383695652173913
22,22,三星半店铺,3.74,3.72,3.7,70.0,0.15942857142857142
23,23,四星店铺,4.29,4.47,4.06,87.0,0.14735632183908046
24,24,三星半店铺,4.16,4.14,4.14,71.0,0.17521126760563382
25,25,四星半店铺,4.56,4.6,4.41,58.0,0.23396551724137932
26,26,四星店铺,4.23,4.39,4.33,117.0,0.11068376068376069
27,27,三星半店铺,3.54,3.55,3.54,48.0,0.2214583333333333
28,28,四星半店铺,4.84,4.84,4.81,127.0,0.11409448818897637
29,29,三星店铺,3.7,3.83,3.59,49.0,0.2269387755102041
30,30,三星半店铺,3.62,3.67,3.67,79.0,0.13873417721518988
31,31,三星半店铺,3.89,3.89,3.91,54.0,0.2164814814814815
32,32,三星半店铺,3.54,3.55,3.55,50.0,0.21280000000000002
33,33,四星半店铺,4.67,4.71,4.77,113.0,0.1252212389380531
34,34,三星半店铺,3.82,3.84,3.81,49.0,0.23408163265306123
35,35,四星店铺,4.16,4.18,4.24,72.0,0.17472222222222222
36,36,三星半店铺,3.9,3.89,3.89,71.0,0.1645070422535211
37,37,三星半店铺,3.88,3.79,3.8,58.0,0.19775862068965516
38,38,四星店铺,4.21,4.11,4.05,71.0,0.17422535211267606
39,39,三星半店铺,3.74,3.79,3.68,46.0,0.24369565217391306
40,40,三星半店铺,3.73,3.69,3.71,63.0,0.17666666666666664
41,41,三星半店铺,3.73,3.71,3.75,62.0,0.18048387096774193
42,42,三星半店铺,3.52,3.53,3.52,50.0,0.2114
43,43,三星半店铺,3.0,3.0,3.0,50.0,0.18
44,44,三星店铺,3.0,3.0,3.0,50.0,0.18
45,45,三星店铺,3.0,3.0,3.0,50.0,0.18
46,46,三星店铺,3.0,3.0,3.0,50.0,0.18
47,47,三星店铺,3.0,3.0,3.0,50.0,0.18
48,0,三星半店铺,3.49,3.5,3.51,56.34230422973633,0.18636085519658802
49,1,三星半店铺,3.96,3.95,3.95,58.83941535949707,0.20156556497949155
50,2,三星半店铺,3.51,3.51,3.51,56.37189903259277,0.18679519726507396
51,3,三星半店铺,3.6,3.61,3.59,56.8187614440918,0.19007806093462498
52,4,三星半店铺,3.7,3.69,3.69,57.364361953735354,0.19315128108521587
53,5,三星半店铺,3.91,3.91,3.91,58.59186477661133,0.20019844128057818
54,6,三星半店铺,3.66,3.64,3.66,57.186579895019534,0.1916533567861526
55,7,三星店铺,3.26,3.44,3.44,55.74659652709961,0.18189451252097028
56,8,三星半店铺,3.58,3.32,3.61,56.92734146118164,0.18462130375729377
57,9,三星半店铺,3.54,3.55,3.55,56.57329750061035,0.18807459473058308
58,10,三星半店铺,3.62,3.74,3.62,56.978223419189455,0.19270520105935934
59,11,三星店铺,3.02,3.34,3.34,55.00573043823242,0.1763452629884157
60,12,三星半店铺,3.67,3.81,3.67,57.267255020141604,0.1947011428446921
61,13,三星半店铺,3.61,3.62,3.61,56.91231117248535,0.1904684553601589
62,14,三星半店铺,3.62,3.65,3.64,57.04326820373535,0.19125832624165076
63,15,三星半店铺,3.85,3.73,3.77,57.921034240722655,0.19595644568135376
64,16,三星半店铺,3.89,3.86,3.9,58.51306343078613,0.19910083863205247
65,17,三星半店铺,3.61,3.61,3.64,57.031733703613284,0.19042030278157154
66,18,三星店铺,3.41,3.42,3.42,55.870748138427736,0.1834591506561567
67,19,三星半店铺,3.59,3.58,3.58,56.76694946289062,0.18937075361126163
68,20,三星半店铺,3.65,3.78,3.68,57.263907241821286,0.19401400524563026
69,21,三星半店铺,3.53,3.5,3.53,56.48333969116211,0.18695778361795967
70,22,三星半店铺,3.5,3.5,3.5,56.31757278442383,0.18644269418699208
71,23,三星半店铺,3.73,3.64,3.77,57.748144912719724,0.19290662958675026
72,24,三星半店铺,3.61,3.61,3.56,56.714565658569335,0.19007462853365228
73,25,三星半店铺,3.49,3.5,3.5,56.30249786376953,0.18631500196282197
74,26,三星半店铺,3.69,3.62,3.67,57.27634201049805,0.19170218653257398
75,27,三星半店铺,3.52,3.53,3.53,56.46487693786621,0.18737311712628368
76,28,三星半店铺,3.83,3.83,3.85,58.21119918823242,0.1977282749798905
77,29,三星半店铺,3.74,3.7,3.74,57.623030471801755,0.19401964645838982
78,30,三星半店铺,3.6,3.6,3.6,56.85946083068848,0.18994200511607684
79,31,三星半店铺,3.75,3.75,3.75,57.67986297607422,0.1950420722162002
80,32,三星半店铺,3.53,3.53,3.53,56.48041038513183,0.18749863763007926
81,33,三星半店铺,3.56,3.56,3.56,56.643049240112305,0.18854917140366198
82,34,三星半店铺,3.59,3.42,3.59,56.82930793762207,0.1865234750286762
83,35,三星半店铺,3.7,3.35,3.48,56.61865234375,0.18598111336294254
84,36,三星半店铺,3.52,3.47,3.52,56.4306339263916,0.18624635714192572
85,37,三星半店铺,3.52,3.53,3.52,56.42508811950684,0.18732801936636803
86,38,三星店铺,3.47,3.47,3.47,56.15552978515625,0.18537800355240713
87,39,三星店铺,3.51,3.51,3.51,56.37189903259277,0.18679519726507396
88,40,三星半店铺,3.85,3.82,3.76,57.89744834899902,0.19741802663048813
89,41,三星半店铺,3.65,3.67,3.66,57.16844787597656,0.19206398648115192
