,类别,标题,经度,纬度
87,三星半店铺,郑州北59号牛杂煲(明鸿路店),113.6776213,34.86914614
258,三星半店铺,郑州红盛得火锅食材,113.6201512,34.87808122
263,三星店铺,郑州二力涮锅,113.6263835,34.84187884
363,三星半店铺,郑州蜀香·奇火锅,113.5396268,34.88540646
436,三星半店铺,郑州转圈圈小火锅,113.6628225,34.85556117
579,三星半店铺,郑州丸子很忙丸滑小火锅(大石桥店),113.6628225,34.85556117
583,三星半店铺,郑州老二碳锅鱼,113.677734,34.88015403
696,三星半店铺,郑州火辣辣小火锅,113.6628225,34.85556117
701,三星半店铺,郑州北59号牛杂煲(祭城店),113.6776213,34.86914614
743,三星半店铺,郑州米喜鱼(高新万达店),113.643275,34.87483795
973,三星半店铺,郑州廣順興猪肚鸡(文化北路店),113.6526505,34.86674268
981,三星半店铺,郑州转转签串串小火锅(局外店),113.6628225,34.85556117
1068,三星半店铺,郑州围辣菌汤小火锅,113.6628225,34.85556117
1092,三星半店铺,郑州鱼库秘制烤鱼(任寨北街店),113.6663928,34.88136849
1236,三星半店铺,郑州固始鹅块,113.551544,34.88458492
1254,三星半店铺,郑州穆记涮锅,113.613716,34.80721199
1396,四星店铺,郑州小碟子菌汤小火锅,113.6628225,34.85556117
1517,三星半店铺,郑州湘记酸辣粉五谷鱼粉(万达店),113.643275,34.87483795
1684,三星店铺,郑州三多靓敏小火锅,113.6628225,34.85556117
1724,三星半店铺,郑州北59号牛杂煲(行云路店),113.6776213,34.86914614
1897,三星半店铺,郑州虾湖闹成都小火锅,113.6628225,34.85556117
1914,三星半店铺,郑州尚品鲜小火锅,113.6628225,34.85556117
1918,三星半店铺,郑州重庆锅巴饮年代火锅(第二十二大街店),113.628299,34.87504998
1955,四星半店铺,郑州拾岁火锅(航海东路丹尼斯店),113.6432397,34.87461281
1967,三星店铺,郑州食合丰火锅食材(阳光城店),113.6201512,34.87808122
1997,三星半店铺,郑州阿敦菌汤小火锅(汇美茂店),113.6628225,34.85556117
2001,三星半店铺,郑州老地方 串串香,113.7428545,34.8818422
2011,三星半店铺,郑州二哥小火锅,113.6628225,34.85556117
2014,三星半店铺,郑州阿德印象重庆火锅(江山路店),113.6260981,34.84059035
2015,三星半店铺,郑州黄家涮牛肚,113.6270759,34.84170657
2017,三星半店铺,郑州灶连灶秘制地锅鸡柴鸡(银通路店),113.6773341,34.87708174
2019,三星半店铺,郑州老北京四和涮锅(迎宾路店),113.6658452,34.88079372
2021,三星半店铺,郑州京府涮锅,113.6637032,34.87273628
2022,三星半店铺,郑州馋嘴虾火锅,113.658702,34.86624096
2026,三星店铺,郑州围辣串串香(北大学城店),113.6565051,34.87195059
2027,三星半店铺,郑州京味涮肉坊(绿源路店),113.5763958,34.89411645
2028,三星半店铺,郑州地锅味道(开元路店),113.6472605,34.87162238
2029,三星半店铺,郑州欢喜捞火锅(清华园路店),113.6263696,34.8647096
2030,三星半店铺,郑州巴蜀映象旋转小火锅,113.6636627,34.87119429
2032,三星半店铺,郑州二力涮锅(江山路店),113.6263835,34.84187884
2033,四星店铺,郑州秋波里·爆弹豆腐香辣虾（国产虾）(惠济万达店),113.643275,34.87483795
2035,三星半店铺,郑州深海鱼宴,113.6154958,34.87325543
2036,三星半店铺,郑州火盆景麻辣鱼(毛庄店),113.628865,34.87623498
2037,三星半店铺,郑州阿伟家炖锅(毛庄店),113.6288372,34.87602694
2038,四星店铺,郑州让签签飞小郡肝串串香火锅(北大学城店),113.6565051,34.87195059
2039,三星半店铺,郑州齐祺渔锅(绿源路店),113.5768349,34.89410024
2042,三星半店铺,郑州老渔翁清华园路,113.6263696,34.8647096
2043,三星店铺,郑州约辣青椒火锅,113.6543368,34.86603897
2044,四星店铺,郑州坎爷秘制火锅(毛庄店),113.628813,34.87667097
2046,三星半店铺,郑州川渝九宫格火锅,113.658561,34.86631796
2048,四星店铺,郑州小龙坎火锅(惠济万达店),113.6445492,34.87468292
2049,三星半店铺,郑州三不牛腩火锅(惠济万达店),113.6434059,34.87524669
2050,四星半店铺,郑州白总管藤椒豆花鸡(惠济店),113.6443215,34.87392538
2051,四星店铺,郑州京馆涮(惠济万达店),113.643603,34.87531599
2052,三星半店铺,郑州德源天鲜牛生鲜牛肉火锅(田园路店),113.669485,34.87574495
2054,四星半店铺,郑州巴奴毛肚火锅(惠济万达店),113.642121,34.87486497
2057,三星店铺,郑州喜虾客(惠济万达店),113.644529,34.87489495
2059,三星半店铺,郑州舒来喜鱼锅(惠济区店),113.634559,34.8753117
2061,三星半店铺,郑州王婆大虾(银河街店),113.6311856,34.83237403
2062,三星店铺,郑州签老大小火锅(御翠园店),113.666111,34.88079816
2063,三星半店铺,郑州玉泉楼涮锅,113.6725494,34.90159664
2067,四星半店铺,郑州海底捞火锅(美景万科广场店),113.651693,34.86502494
2068,三星半店铺,郑州小小河边鱼黄辣丁鲜鱼锅(北大学城店),113.6565051,34.87195059
2072,四星店铺,郑州黄记煌三汁焖锅(惠济万达店),113.6417507,34.87544614
2075,三星半店铺,郑州灶连灶秘制地锅柴鸡(北郡店),113.632508,34.87469395
2076,三星半店铺,郑州清真劈柴地锅(花园口店),113.6724034,34.90759027
