,level_0,类别,评分口味,评分环境,评分服务,人均/元,性价比
0,0,三星半店铺,3.7,3.64,3.62,16.0,0.685
1,1,三星半店铺,3.48,3.54,3.6,15.0,0.708
2,2,四星店铺,4.2,3.79,3.93,89.0,0.13393258426966292
3,3,三星半店铺,3.66,3.6,3.65,66.0,0.1653030303030303
4,4,四星店铺,4.38,3.75,3.91,78.0,0.15435897435897436
5,5,三星半店铺,3.82,3.86,3.81,54.0,0.2127777777777778
6,6,五星店铺,4.85,4.95,4.91,128.0,0.114921875
7,7,三星半店铺,4.12,4.2,3.83,118.0,0.10296610169491525
8,8,三星半店铺,4.01,4.15,4.17,80.0,0.154125
9,9,四星店铺,4.02,4.01,4.07,73.0,0.16575342465753423
10,10,四星店铺,4.24,4.32,4.2,94.0,0.13574468085106384
11,11,三星店铺,3.73,3.62,3.63,60.0,0.183
12,12,三星半店铺,3.51,3.44,3.39,63.0,0.16412698412698412
13,13,三星半店铺,4.16,3.83,3.7,40.0,0.29225
14,14,四星店铺,4.43,4.49,4.53,83.0,0.16204819277108432
15,15,四星店铺,4.63,3.9,4.22,68.0,0.1875
16,16,三星半店铺,3.96,3.99,3.97,56.0,0.21285714285714286
17,17,三星半店铺,4.27,4.24,4.21,96.0,0.13249999999999998
18,18,五星店铺,4.89,4.84,4.87,106.0,0.1377358490566038
19,19,三星半店铺,3.87,3.93,3.89,107.0,0.10925233644859814
20,20,四星店铺,4.3,4.26,4.23,52.0,0.24596153846153845
21,21,四星店铺,4.71,4.7,4.56,87.0,0.16057471264367815
22,22,四星店铺,4.19,4.25,4.24,47.0,0.2697872340425532
23,23,三星半店铺,3.71,3.66,3.71,55.0,0.20145454545454547
24,24,三星半店铺,3.92,3.89,3.76,77.0,0.15025974025974026
25,25,三星半店铺,3.88,3.84,3.86,58.0,0.1996551724137931
26,26,三星半店铺,3.63,3.76,3.74,62.0,0.17951612903225805
27,27,四星店铺,4.18,4.4,4.2,128.0,0.09984375000000001
28,28,三星店铺,3.63,3.71,3.7,82.0,0.1346341463414634
29,29,三星店铺,3.57,3.68,3.47,63.0,0.17015873015873018
30,30,三星半店铺,3.81,3.8,3.62,48.0,0.23395833333333335
31,31,四星半店铺,4.7,4.64,4.66,82.0,0.17073170731707318
32,32,四星半店铺,4.76,4.69,4.59,91.0,0.15428571428571428
33,33,四星半店铺,4.82,4.6,4.62,96.0,0.14625
34,34,四星半店铺,4.51,4.62,4.53,110.0,0.12418181818181818
35,35,三星半店铺,3.68,3.66,3.76,69.0,0.1608695652173913
36,36,三星半店铺,3.76,3.68,3.64,75.0,0.14773333333333333
37,37,三星半店铺,3.89,3.89,3.85,41.0,0.2836585365853659
38,38,三星半店铺,3.79,3.78,3.72,47.0,0.24021276595744684
39,39,三星半店铺,3.65,3.37,3.46,27.0,0.3881481481481482
40,40,三星半店铺,3.71,3.64,3.56,49.0,0.2226530612244898
41,41,三星半店铺,3.64,3.67,3.65,56.0,0.19571428571428573
42,42,三星半店铺,3.68,3.69,3.7,22.0,0.5031818181818182
43,43,三星半店铺,3.83,3.78,3.88,21.0,0.547142857142857
44,44,四星半店铺,4.75,4.62,4.55,57.0,0.24421052631578952
45,45,三星半店铺,4.04,3.93,3.97,26.0,0.4592307692307693
46,46,四星半店铺,4.73,4.68,4.74,85.0,0.16647058823529412
47,47,四星半店铺,4.79,4.58,4.57,85.0,0.164
48,48,三星半店铺,3.94,3.8,3.94,78.0,0.14974358974358973
49,49,四星店铺,3.92,4.17,4.23,46.0,0.26782608695652177
50,50,四星店铺,4.11,4.13,3.98,58.0,0.2106896551724138
51,51,四星店铺,4.63,4.42,4.39,38.0,0.3536842105263158
52,52,三星半店铺,3.96,3.95,3.94,65.0,0.1823076923076923
53,53,三星半店铺,3.79,3.74,3.83,70.0,0.16228571428571428
54,54,三星半店铺,3.94,4.06,3.99,42.0,0.2854761904761905
55,55,四星半店铺,4.72,4.84,4.82,59.0,0.24372881355932202
56,56,三星半店铺,3.64,3.57,3.55,53.0,0.2030188679245283
57,57,三星半店铺,3.83,3.77,3.8,49.0,0.23265306122448975
58,58,四星半店铺,4.72,4.67,4.64,51.0,0.2750980392156863
59,59,三星半店铺,3.85,3.75,3.86,54.0,0.2122222222222222
60,60,三星半店铺,3.64,3.53,3.47,71.0,0.14985915492957746
61,61,三星半店铺,3.75,3.81,3.77,70.0,0.16185714285714287
62,62,三星半店铺,3.87,3.69,3.75,86.0,0.13151162790697676
63,63,三星半店铺,3.66,3.68,3.65,71.0,0.1547887323943662
64,64,三星半店铺,4.01,4.03,3.98,71.0,0.1692957746478873
65,65,三星半店铺,3.75,3.69,3.71,56.0,0.19910714285714284
66,66,四星店铺,4.18,4.28,3.96,52.0,0.23884615384615387
67,67,三星半店铺,3.86,3.66,3.69,54.0,0.20759259259259258
68,68,三星半店铺,3.72,3.54,3.55,38.0,0.28447368421052627
69,69,四星店铺,4.27,4.31,4.27,48.0,0.26770833333333327
70,70,四星店铺,4.49,4.06,4.36,67.0,0.19268656716417912
71,71,四星店铺,4.08,4.01,3.94,55.0,0.21872727272727271
72,72,三星半店铺,4.16,4.08,3.86,66.0,0.18333333333333332
73,73,三星半店铺,3.82,3.86,3.81,69.0,0.16652173913043478
74,74,四星店铺,4.36,4.32,4.13,55.0,0.2329090909090909
75,75,三星半店铺,3.88,3.83,3.86,30.0,0.38566666666666666
76,76,四星店铺,3.98,3.93,3.88,52.0,0.2267307692307692
77,77,三星半店铺,3.77,3.75,3.76,28.0,0.40285714285714286
78,78,三星半店铺,3.84,3.9,3.9,50.0,0.2328
79,79,三星半店铺,3.81,3.71,3.82,51.0,0.2223529411764706
80,80,四星店铺,4.33,3.61,3.81,63.0,0.1865079365079365
81,81,三星半店铺,3.75,3.73,3.74,64.0,0.1753125
82,82,三星半店铺,3.69,3.69,3.74,70.0,0.15885714285714286
83,83,三星半店铺,3.85,3.81,3.85,48.0,0.23979166666666665
84,84,三星半店铺,3.58,3.56,3.56,60.0,0.17833333333333334
85,85,三星半店铺,3.59,3.58,3.57,11.0,0.9763636363636364
86,86,三星半店铺,3.5,3.5,3.5,58.0,0.1810344827586207
87,87,三星半店铺,3.75,3.76,3.67,83.0,0.1346987951807229
88,88,三星店铺,3.4,3.54,3.61,55.0,0.1918181818181818
89,89,三星店铺,3.32,3.46,3.56,93.0,0.11118279569892472
90,90,三星店铺,3.27,3.41,3.34,49.0,0.20448979591836733
91,91,三星半店铺,3.53,3.68,3.67,25.0,0.4352
92,92,四星半店铺,4.68,4.7,4.58,67.0,0.20835820895522386
93,93,三星店铺,3.31,3.29,3.35,59.0,0.16864406779661015
94,94,四星店铺,4.06,4.09,4.2,54.0,0.22870370370370366
95,95,三星半店铺,4.22,4.06,3.91,75.0,0.16253333333333334
96,96,三星店铺,3.53,3.59,3.45,80.0,0.132125
97,97,三星半店铺,3.75,3.72,3.66,62.0,0.17951612903225808
98,98,三星半店铺,3.83,4.04,3.86,79.0,0.14848101265822786
99,99,四星半店铺,4.62,4.63,4.74,73.0,0.19164383561643836
100,100,三星半店铺,3.96,3.84,3.92,69.0,0.1698550724637681
101,101,四星店铺,4.07,4.08,3.94,78.0,0.155
102,102,三星半店铺,3.89,3.76,3.82,60.0,0.19116666666666668
103,103,三星半店铺,3.89,3.87,3.86,75.0,0.1549333333333333
104,104,三星半店铺,3.76,3.58,3.57,76.0,0.14355263157894738
