,类别,标题,经度,纬度
10,三星半店铺,郑州广盛合猪肚鸡潮汕鼎记牛肉火锅(红专路店),113.7185029,34.71445501
13,三星半店铺,郑州杨新伟老北京旋转小火锅,113.7116987,34.73846314
17,三星半店铺,郑州魁旋转火锅,113.7687424,34.72442875
22,三星半店铺,郑州老字号山野菜杂面条,113.6752796,34.74305597
147,三星店铺,郑州呀咪快乐小火锅,113.7283578,34.72473923
154,三星半店铺,郑州小火锅养生传奇随你涮吧,113.7283578,34.72473923
177,三星半店铺,郑州陈记串串香,113.7252889,34.69661149
179,三星店铺,郑州王者荣耀餐厅,113.678259,34.74676897
218,四星店铺,郑州草原涮羊肉,113.7181672,34.72998759
244,三星半店铺,郑州包记涮羊肉,113.7181672,34.72998759
294,四星店铺,郑州正宗潮汕潮合牛肉火锅(南大街店),113.6832359,34.75422686
323,三星半店铺,郑州咏鱼·重庆鱼火锅,113.6863329,34.75589355
326,五星店铺,郑州风夫子火锅(凯利国际中心店),113.7840241,34.75312166
332,三星店铺,郑州廣順興猪肚鸡(高铁站嘉亿东方大厦店),113.7838691,34.75410823
341,三星半店铺,郑州小龙坎火锅(郑东新区店),113.767007,34.75090897
346,三星半店铺,郑州鑫松花江鱼庄(莲湖路店),113.7926788,34.75840126
347,三星半店铺,郑州老北京火锅(海赋国际店),113.7824203,34.75554537
356,三星半店铺,郑州桓记砂锅店,113.7444782,34.74829967
358,三星半店铺,郑州锦鸡坊广式猪肚鸡(农业南路店),113.7621666,34.75163554
359,四星店铺,郑州锦鸡坊广式猪肚鸡(万通街店),113.7621666,34.75163554
360,四星店铺,郑州恋虾火锅,113.7622136,34.74872373
386,三星半店铺,郑州杨新伟旋转小火锅,113.6798184,34.7018448
401,三星半店铺,郑州锅炉三汁焖锅(锅炉三汁焖锅曼哈顿店),113.6649975,34.73144154
403,三星半店铺,郑州老成都地摊鱼(东明路店),113.671405,34.71863299
420,三星店铺,郑州胡涂老串串牛油火锅(曼哈顿店),113.6649975,34.73144154
432,三星半店铺,郑州皇涮老北京铜锅涮,113.6680905,34.74407886
451,三星半店铺,郑州渔情味了豆花鱼火锅(曼哈顿店),113.6649975,34.73144154
487,三星半店铺,郑州东门涮锅老北京铜锅涮,113.6680905,34.74407886
497,三星半店铺,郑州苗岭啤酒鸭,113.8369393,34.7500381
501,三星半店铺,郑州重庆香辣鸡煲·排骨虾(二七万达店),113.6946836,34.66231051
516,四星店铺,郑州麻门匠骨秘制羊棒骨(勤劳街店),113.6795376,34.75026077
568,四星店铺,郑州时二崽重庆芋儿鸡招待所(健康路一所),113.6678243,34.75672217
574,三星半店铺,郑州鸭恋虾杨大师特色火锅,113.7622136,34.74872373
614,三星半店铺,郑州锅大侠市集火锅(健康路店),113.6711615,34.756897
617,三星半店铺,郑州电台巷火锅(郑东商业中心直营店),113.7670596,34.75168344
618,五星店铺,郑州木辛水水冰煮羊特色火锅(郑东店),113.7663329,34.74795324
