,level_0,类别,评分口味,评分环境,评分服务,人均/元,性价比
0,0,四星店铺,4.36,4.6,4.03,95.0,0.13673684210526318
1,1,三星半店铺,4.17,3.86,3.89,104.0,0.11461538461538462
2,2,四星店铺,4.42,4.4,4.16,99.0,0.13111111111111112
3,3,五星店铺,4.88,4.84,4.83,101.0,0.14405940594059405
4,4,四星店铺,4.54,4.5,4.43,61.0,0.22081967213114753
5,5,三星半店铺,3.89,3.92,3.78,82.0,0.14134146341463413
6,6,三星半店铺,4.11,4.06,4.11,46.0,0.2669565217391305
7,7,五星店铺,4.9,4.91,4.9,118.0,0.12466101694915255
8,8,三星半店铺,4.07,3.92,3.89,79.0,0.15037974683544306
9,9,五星店铺,4.88,4.9,4.88,130.0,0.11276923076923077
10,10,四星店铺,4.51,4.58,4.62,86.0,0.1594186046511628
11,11,四星店铺,4.42,4.42,4.48,71.0,0.18760563380281692
12,12,三星半店铺,3.83,3.88,3.8,62.0,0.18564516129032257
13,13,四星店铺,4.54,4.5,4.54,27.0,0.502962962962963
14,14,四星半店铺,4.72,4.73,4.56,60.0,0.23349999999999996
15,15,三星半店铺,3.71,3.63,3.77,23.0,0.4830434782608695
16,16,四星半店铺,4.61,4.58,4.52,73.0,0.18780821917808221
17,17,三星店铺,3.64,3.64,3.68,74.0,0.14810810810810812
18,18,三星半店铺,3.74,3.68,3.68,63.0,0.17619047619047618
19,19,三星半店铺,3.66,3.71,3.63,48.0,0.22916666666666666
20,20,三星半店铺,3.86,3.8,3.87,23.0,0.501304347826087
21,21,四星店铺,4.44,4.41,4.32,33.0,0.39909090909090916
22,22,三星半店铺,4.19,4.12,3.98,66.0,0.18621212121212122
23,23,三星半店铺,3.92,3.87,4.0,52.0,0.2267307692307692
24,24,三星半店铺,4.34,4.32,4.15,54.0,0.23722222222222222
25,25,四星半店铺,4.81,4.68,4.68,130.0,0.10899999999999999
26,26,五星店铺,4.9,4.91,4.86,110.0,0.13336363636363638
27,27,四星半店铺,4.72,4.88,4.84,110.0,0.13127272727272726
28,28,四星半店铺,4.76,4.69,4.69,92.0,0.15369565217391304
29,29,三星半店铺,4.02,4.22,4.11,107.0,0.11542056074766353
30,30,五星店铺,4.9,4.93,4.93,141.0,0.10468085106382978
31,31,四星店铺,4.38,4.34,4.0,77.0,0.16519480519480517
32,32,四星店铺,4.02,4.16,4.21,78.0,0.15884615384615386
33,33,四星店铺,4.53,4.65,4.58,98.0,0.1404081632653061
34,34,五星店铺,4.87,4.87,4.85,128.0,0.113984375
35,35,四星店铺,4.37,4.5,4.32,79.0,0.1669620253164557
36,36,四星半店铺,4.74,4.88,4.56,125.0,0.11344
37,37,四星店铺,4.35,4.2,4.21,84.0,0.15190476190476193
38,38,五星店铺,4.88,4.88,4.87,133.0,0.10999999999999999
39,39,四星半店铺,4.76,4.76,4.66,163.0,0.08699386503067484
40,40,四星店铺,4.54,4.56,4.51,97.0,0.14030927835051546
41,41,五星店铺,4.88,4.89,4.89,130.0,0.11276923076923077
42,42,四星店铺,4.16,4.36,4.34,84.0,0.1530952380952381
43,43,四星半店铺,4.61,4.63,4.62,90.0,0.154
44,44,四星店铺,4.43,4.41,4.31,111.0,0.11846846846846845
45,45,四星店铺,4.35,4.54,4.43,130.0,0.10246153846153847
46,46,四星店铺,4.52,4.56,4.23,82.0,0.16231707317073168
47,47,四星半店铺,4.82,4.78,4.74,107.0,0.13401869158878507
48,48,四星半店铺,4.61,4.7,4.66,84.0,0.16630952380952382
49,49,四星店铺,4.28,4.33,4.25,53.0,0.24264150943396226
50,50,三星半店铺,3.91,3.87,3.84,27.0,0.4303703703703704
51,51,四星店铺,4.26,4.02,4.49,94.0,0.13585106382978723
52,52,三星半店铺,3.48,3.67,3.66,41.0,0.26365853658536587
53,53,三星半店铺,3.69,3.78,3.65,91.0,0.12219780219780219
54,54,四星半店铺,4.64,4.66,4.67,94.0,0.14861702127659576
55,55,四星半店铺,4.6,4.63,4.62,64.0,0.21640625000000002
56,56,三星半店铺,4.04,4.55,3.92,152.0,0.08230263157894736
57,57,三星半店铺,4.16,4.33,4.3,62.0,0.20629032258064514
58,58,四星半店铺,4.88,4.88,4.88,127.0,0.11527559055118111
59,59,三星半店铺,3.93,3.89,3.85,53.0,0.22018867924528301
60,60,四星半店铺,4.75,4.74,4.65,82.0,0.17243902439024392
61,61,四星店铺,4.61,4.63,4.42,68.0,0.20088235294117648
62,62,三星半店铺,3.83,3.87,3.88,80.0,0.14475
63,63,四星半店铺,4.77,4.72,4.72,90.0,0.15788888888888886
64,64,四星半店铺,4.64,4.7,4.63,197.0,0.07091370558375634
65,65,四星半店铺,4.61,4.86,4.81,106.0,0.13471698113207548
66,66,四星半店铺,4.65,4.84,4.81,116.0,0.12327586206896553
67,67,四星半店铺,4.69,4.73,4.75,87.0,0.16287356321839083
68,68,四星半店铺,4.74,4.58,4.62,83.0,0.16795180722891567
69,69,五星店铺,4.86,4.86,4.82,112.0,0.1298214285714286
70,70,四星店铺,4.53,4.6,4.45,79.0,0.17189873417721516
71,71,三星半店铺,4.24,4.35,4.02,107.0,0.11785046728971962
72,72,三星半店铺,3.73,3.74,3.65,55.0,0.2021818181818182
73,73,四星店铺,4.56,4.58,4.49,94.0,0.14500000000000002
74,74,四星半店铺,4.66,4.66,4.66,92.0,0.15195652173913043
75,75,四星店铺,4.39,4.39,4.16,79.0,0.16379746835443038
76,76,三星半店铺,3.87,3.79,3.68,96.0,0.118125
77,77,三星半店铺,3.62,3.57,3.65,30.0,0.36133333333333334
78,78,三星半店铺,3.74,3.81,3.75,25.0,0.452
79,79,四星半店铺,4.65,4.6,4.6,95.0,0.14578947368421052
80,80,三星半店铺,4.16,3.8,3.91,81.0,0.14654320987654323
81,81,三星半店铺,3.9,3.98,3.95,92.0,0.12858695652173913
82,82,三星半店铺,3.87,3.8,3.76,48.0,0.238125
83,83,三星半店铺,3.65,3.63,3.62,24.0,0.4541666666666666
84,84,三星半店铺,3.94,3.93,3.9,63.0,0.1868253968253968
85,85,四星半店铺,4.83,4.51,4.64,67.0,0.20865671641791045
86,86,三星半店铺,3.78,3.76,3.81,21.0,0.5404761904761904
87,87,三星半店铺,3.79,3.8,3.81,40.0,0.28500000000000003
88,88,三星半店铺,3.67,3.58,3.59,50.0,0.2168
89,89,三星半店铺,3.51,3.44,3.44,25.0,0.41559999999999997
90,90,三星半店铺,3.8,3.81,3.75,82.0,0.13853658536585364
91,91,三星半店铺,3.7,3.58,3.61,15.0,0.7260000000000001
92,92,四星店铺,4.43,4.28,4.39,98.0,0.13367346938775512
93,93,四星店铺,4.61,4.67,4.54,82.0,0.16853658536585367
