,类别,标题,经度,纬度
0,四星店铺,郑州小龙坎火锅(国贸店),113.6871918,34.78941632
1,三星半店铺,郑州毋米粥开煲（火锅）(农科路店),113.6911038,34.79834146
2,四星店铺,郑州谭鸭血老火锅(东风路政七街店),113.694211,34.80147
3,五星店铺,郑州豆捞坊(国贸360广场店),113.685868,34.79019561
4,四星店铺,郑州胶喜运金汤花胶鸡,113.6887316,34.79343336
5,三星半店铺,郑州老北京涮锅(国贸店),113.6870361,34.79093377
6,三星半店铺,郑州川椒王串串香火锅(国贸360店),113.6869378,34.79081749
7,三星半店铺,郑州渝中味道重庆牛杂火锅(经五路店),113.6837027,34.7836116
8,五星店铺,郑州海底捞火锅(国贸大商新玛特店),113.6875825,34.7913542
9,三星半店铺,郑州潮汕鼎记生鲜牛肉火锅(红专路店),113.686353,34.785586
11,五星店铺,郑州巴奴毛肚火锅(国贸360店),113.685992,34.78968298
12,三星半店铺,郑州围辣串串香(大商新玛特7楼店),113.6717881,34.7616946
15,三星半店铺,郑州火锅轰趴-专业火锅外卖(国贸店),113.6873732,34.79036251
16,四星店铺,郑州黄记煌三汁焖锅(国贸店),113.6873732,34.79036251
19,三星半店铺,郑州围辣串串香(经七路店),113.672361,34.80335502
23,三星半店铺,郑州传世老汤,113.683802,34.79913194
24,四星店铺,郑州小小河边鱼(国贸店),113.686793,34.78929996
25,三星半店铺,郑州鱻煮艺小火锅,113.6852545,34.78864606
26,三星半店铺,郑州暹罗泰式海鲜火锅,113.7240762,34.79059471
28,三星半店铺,郑州舒来喜鱼锅(花园路丹尼斯直营店),113.6869011,34.80177563
29,四星店铺,郑州吉串签子·火锅串串(国贸360店),113.6996698,34.75648054
30,四星半店铺,郑州呷哺呷哺(郑州花园路丹尼斯店),113.6813535,34.76260894
31,三星半店铺,郑州串串一碗香(关虎屯店),113.6971723,34.79097831
32,三星半店铺,郑州重庆鸡公煲(关虎屯店),113.6857827,34.78877161
33,四星半店铺,郑州呷哺呷哺(郑州国贸360餐厅店),113.6869378,34.79081749
36,三星店铺,郑州三合·王婆大虾火锅(国贸关虎屯店),113.6971723,34.79097831
38,三星半店铺,郑州高磊烧烤涮锅,113.6876864,34.78553264
39,三星半店铺,郑州王依鲍汁焖锅(丹尼斯百货店),113.6888638,34.79287732
40,三星半店铺,郑州谢家牛杂煲火锅(红专路店),113.6896585,34.78560476
41,三星半店铺,郑州丸界大牛(花丹店),113.728919,34.77423297
42,四星店铺,郑州寻味源牛杂煲(政六街店),113.6905415,34.78136631
43,三星半店铺,郑州舟友沸腾渔港(大商新玛特店),113.6869446,34.79093614
44,三星半店铺,郑州欢辣青春火锅(金水总店),113.687965,34.79082794
45,三星半店铺,郑州喜虾客(大商新玛特店),113.687253,34.79092843
46,四星半店铺,郑州哥老官重庆美蛙鱼头(大卫城店),113.6725302,34.76326135
47,五星店铺,郑州豆捞坊(大卫城店),113.6723373,34.7638044
48,四星半店铺,郑州集渔泰式海鲜火锅(大卫城店),113.7240762,34.79059471
49,四星半店铺,郑州粤小煲鲜汤猪肚鸡(大卫城店),113.6722609,34.76377066
50,三星半店铺,郑州鸿茂斋(大卫城店),113.6722741,34.76358347
51,五星店铺,郑州巴奴毛肚火锅(大卫城店),113.6721438,34.76296087
52,四星店铺,郑州舒来喜鱼锅(大卫城直营店),113.6728045,34.76440512
53,三星半店铺,郑州永乐串串香,113.6708973,34.761254
54,三星半店铺,郑州转转签串串小火锅(太康路店),113.6703952,34.77574358
55,三星半店铺,郑州吉串签子·火锅串串(太康路360店),113.6703952,34.77574358
56,三星半店铺,郑州黄记煌三汁焖锅(西太康路店),113.673901,34.76279095
57,四星店铺,郑州蛙遇·十三香炭火蛙锅(大卫城店),113.6726662,34.76314651
58,四星店铺,郑州如一鸡鲍鱼(大卫城店),113.6721841,34.7645009
59,五星店铺,郑州巴奴毛肚火锅(二七路店),113.7127762,34.76928872
60,四星店铺,郑州海银海记潮汕特色牛肉火锅(西太康路360广场店),113.6703952,34.77574358
61,四星半店铺,郑州湊湊火锅茶憩(郑州永威木色店),113.7381875,34.7732874
63,四星店铺,郑州潮阿牛生鲜牛肉馆(丹尼斯1天地店),113.7296985,34.77346094
65,五星店铺,郑州巴奴毛肚火锅(金水东路店),113.7520594,34.77087178
66,四星半店铺,郑州小背篓菌汤火锅(外环路店),113.726096,34.78260529
67,四星店铺,郑州众旺四季热带园林餐厅,113.764649,34.77670498
68,五星店铺,郑州巴奴毛肚火锅(六天地店),113.7281785,34.78341615
69,四星店铺,郑州京馆涮(丹尼斯二天地店),113.7283034,34.77457877
70,四星半店铺,郑州云鼎汇砂(丹尼斯1天地店),113.7308526,34.77310957
71,四星店铺,郑州鸿茂斋(CBD店),113.6870342,34.8015637
72,四星店铺,郑州鼎鼎红火锅(商务内环路店),113.72631,34.77916898
73,三星半店铺,郑州金鸿臻养生和牛火锅(楷林中心店),113.7667172,34.77129254
74,三星店铺,郑州天和农场供港蔬菜火锅,113.722213,34.79445895
75,三星半店铺,郑州渔夫壹号,113.7132256,34.78588655
76,四星店铺,郑州呷哺呷哺(郑州七天地丹尼斯店),113.7064389,34.78586587
77,三星店铺,郑州尚牛寿喜烧(丹尼斯一天地店),113.7300108,34.77338021
78,三星店铺,郑州纽西莱火锅,113.770143,34.76718397
80,四星半店铺,郑州海底捞火锅(丹尼斯三天地店),113.7266498,34.77645792
81,四星半店铺,郑州巴四老城区炭火蛙锅(熙地港店),113.7235521,34.79069809
83,三星半店铺,郑州三力火锅,113.6875695,34.84226465
84,四星店铺,郑州杨翔豆皮涮牛肚(丹尼斯百货六天地店),113.7282443,34.78345743
86,三星半店铺,郑州七口辣火锅杯(永威木色店),113.7381875,34.7732874
88,四星店铺,郑州船越鲜鱼捞(丹尼斯六天地店),113.7274597,34.78265851
89,三星半店铺,郑州味艺养生火锅(丹尼斯4天地店),113.7256245,34.77869171
90,三星半店铺,郑州清真·穆泉羊清派火锅(CBD店),113.7304116,34.77408279
91,四星半店铺,郑州鲍凤元鲍鱼焖鸡(永威木色店),113.7381875,34.7732874
92,四星半店铺,郑州杨翔豆皮涮牛肚(一天地店),113.7299442,34.77360704
93,三星半店铺,郑州青门火锅,113.741708,34.77966597
94,三星半店铺,郑州王依鲍汁焖锅(丹尼斯4天地店),113.6888638,34.79287732
95,四星半店铺,郑州海底捞火锅(丹尼斯七天地店),113.72993,34.78421996
96,三星半店铺,郑州2068香辣虾(丹尼斯百货六天地店),113.7282443,34.78345743
97,四星半店铺,郑州靓小妹现炒料鱼火锅(丹尼斯二天地店),113.7283572,34.77456068
98,四星店铺,郑州呷哺呷哺(丹尼斯二天地店),113.7288796,34.77405922
99,三星半店铺,郑州寻鲜纪火锅(正光路店),113.7709597,34.77795517
101,四星半店铺,郑州小小河边鱼(万安路店),113.753083,34.76199323
102,四星半店铺,郑州鸿运打边炉·港式火锅(东风东路店),113.7312243,34.79503114
103,四星半店铺,郑州大智若鱼·新国风鱼火锅(熙地港店),113.7240614,34.79055387
104,四星半店铺,郑州集渔泰式海鲜火锅(熙地港店),113.7240762,34.79059471
105,四星半店铺,郑州热煲猪肚鸡(熙地港购物中心店),113.7240614,34.79055387
106,四星半店铺,郑州沙胆彪炭炉牛杂煲(熙地港店),113.7240614,34.79055387
107,五星店铺,郑州豆捞坊(熙地港店),113.724606,34.79048495
108,四星店铺,郑州黄记煌三汁焖锅(熙地港店),113.723992,34.79079295
109,三星半店铺,郑州鸿茂斋(熙地港店),113.724822,34.79116796
110,三星半店铺,郑州舟友沸腾渔港(金城时代广场店),113.712728,34.781657
111,四星店铺,郑州如一鸡鲍鱼(熙地港店),113.7240614,34.79055387
112,四星半店铺,郑州小肥羊(黄河路店),113.695584,34.78000397
113,四星店铺,郑州府苑美食,113.6931987,34.77566797
114,三星半店铺,郑州清真·潮汕记生鲜牛肉火锅(经四路店),113.696783,34.77615594
115,三星半店铺,郑州曹记猪肚鸡(纬五路店),113.6837495,34.77795811
118,三星半店铺,郑州老北京烤鸭店,113.6569689,34.78664423
119,三星店铺,郑州方团结砂锅区,113.736745,34.75648098
122,三星半店铺,郑州重庆森林,113.6815885,34.77324453
123,三星半店铺,郑州俏俏香旋转小火锅,113.6893417,34.77502434
